caseID,verbatim
400, vp 
403, vp 
405, master vice president 
406, vp 
408, vp 
410, don't know// no 
411, vp 
413, vp 
414, dk 
415, congress? 
417, dk//dk 
420, vice president 
423, vice president 
425, Vice president 
427, vice presidnet 
428, Vice president 
429, vice president 
430," dk//didn't he shoot somebody,  he's in the white house "
431, vice president 
432, vice president 
433, mayor? 
435, vice president 
437, vice president 
438, vice president 
439, dk//maybe a senaor 
440, vice president 
441, dk//dk 
443, dk//dk 
446, secretary of defense? 
447, vice president 
448," congress or foreign affairs of something, I DK "
449, vice president 
450, VP 
451, vice president//no 
453, vice president 
454, vice president 
455, vice president 
456, respondent has no clue 
457, representative of conn state 
458, vice president 
460, vice-president 
461, vice-president 
462, mayor\\no 
464, vice president 
466, congress 
467, vice-president 
470, //i don't know. 
471, congressman 
472, vice president 
473, vice president 
475, vice president 
476, vice president 
477, //Congress 
478, vice-president 
479, education 
480, i think he's the president's adviser. 
482, republican 
483, vice president 
484, next to bush 
485, vice president 
487, vice president 
488, vice president 
489, don't know 
490, vice president 
491, don't know 
492, vice president 
493, something to bush 
494, i don't know 
495, vice president 
496," R does not know, even when prompted "
497, vice president 
498, is he a character??//R does not recognize name//no  
499,  DOES NOT RECOGNIZE EVEN AFTER PROBING 
500, R doesn't know.  she recognizes name but doesn't know what he is or does 
501, DEMOCRAT 
502, doesn't know anything about him.  she is not familiar with him 
503, vice president 
504, R does not know - even after probing  
505, EX VICEPRESIDENT 
508, vice president 
510, Reublican??? 
512, democratic party; senator from Delaware 
514, vice president 
515, VICE PRESIDENT 
516, VICE PRESIDENT 
517, VICE PRESIDENTS 
518, VICE PRESIDENT 
519, VICE PRESIDENT 
520, VICE PRESIDENT 
521, VICE PRESIDENT 
522, VICE PRESIDENT 
523, VICE PRESIDENT 
524, VICE PRESIDENT 
525, VICE PRESIDENT 
526, vice pres 
528, vice president 
529,  vice president 
530, vice president 
531, vice president 
532, i don't know//i don't know 
533, vice president 
534, vice president 
535, vice president 
536, i dont know 
538, vice 
539, vice pres 
540, vice president 
541, vice pres 
543, i dont know/i dont know/no 
544, sec of defles 
545, vice president 
546, i realy don't know any of there job 
547, vice president 
548, //congress 
549, vice pres 
550, foreighn affairs 
551, vice president 
552, vice president 
553, vice president 
554, vice president 
555, vice pres 
556," i have no clue, chamber of commerce, i dont know "
557, vice president 
558,  democrat/no 
559, vice president 
560, vice president 
562, i have no idea//i don'tknow 
563, dont know//no 
564, vice pres 
565, vice pres 
566, vice pres 
568,  leam up vice pres  
569, vice president 
570, vice pres 
571, vice pres 
572, vice president 
573, vice pres  
575, vice pres 
576, vice pres 
577, vice pres 
578, vice pres 
579, vice pres 
580, running for president 
581, vice president 
583,  vice president just remebered 
584, know the name but cant place him 
585, vice president 
586, heard of it 
587, vice president 
588, dont know  
589, vice president 
590, vice president 
591, remember bthe name  
592, carrying the shells//na // vice president//na 
593, vice president 
596, vi ce president 
597, secrtary of defense//na 
598, vice president 
599, vice president 
600, vice president 
602, vice president 
603, vice president 
605, vice president 
606, vice president 
608, vice president 
609, vice president 
611, vice president 
613, vice president 
614, VICE PRESIDENT 
615, VICE PRESIDENT 
616, vice president 
617, vice president 
618, dont rem 
622, vice prs 
623, don tknow 
624, VICE PRESIDENT 
625, I DON'T KNOW 
626, VICE PRESIDENT 
627, VICE PRESIDNET 
629, VICE PRESIDENT 
630, VICE PRESIDENT 
631, VICE PRESIDENT 
632, VICE PRESIDENT 
633, NO CLUE//I HAVE NO CLUE AT ALL//STOP 
634, VICE PRESIDENT 
636, VICE PRESIDENT 
637, DON'T KNOW//I DON'T KNOW 
638, VICE PRESIDENT       
639, VICE PRESIDENT 
640, SENATOR 
641, vp 
642, vp 
643, vice president 
644, vp 
645, vp 
646, vp 
648, vp 
649, vp 
650, vice president 
651, vp 
652, don't remember// didn't he run for president too/na 
653, vp 
654, representative 
655, vp 
656, vp 
657, don't remember// haven't heard i mentioned in a while// no// na 
658, vice president 
659, defense 
660, vp 
661, senate office 
662, vice president 
664, vice president 
666, vice president 
667, vice president 
668," he sits over congress nad votes if theirs a tie, vice president too "
669, vice preident 
670, in the senate 
671, dont know 
672, know the name ... 
673, vice president 
674, vice president 
675, vice president 
676, vice president 
679, vp 
680, vice president 
681, vice president 
682, vice president 
683, vice president 
684, vice president 
685, vice pres 
686, vice president 
688, Vice President 
689, Vice President 
690, VICE PRESIDENT 
691, The Vice President 
692, Vice President 
693, Vice President 
694, Vice President 
695, Vice President 
696, Vice President going out 
697, Vice President 
698, Vice President 
699, Vice President 
700, Vice President 
701, Advisor to President 
702, VICE PRESIDENT 
703, Vice President 
704, Vice President 
705, vice president 
706, vice president 
707, senator 
708, vice presidenth 
709, government 
710, vice president 
711, senate 
712, judge 
713, vice-president 
714, vice senator 
715, vice-president 
716, over the defense dept//NO 
718, vice president 
720, congressman 
721, vice president 
722, don't know 
724, vice president 
725, vice-president 
727, vice-president 
729, senate member 
731, vice president 
732, vice president 
733, vice president 
734, dk//no idea 
735, vice president 
736, aint' he the vice president? 
738, vice president 
739, vice president 
740, vice president 
741, vice president 
742, he is vice presdient 
743, vice president 
744, vice president// 
746, dk/ no idea 
747, vice president 
748, //vice president// 
749, vice pres 
750, vice pres 
751, I don't know 
752, vice Pres 
753, vice pres 
754, vice pres 
756, vice pres 
757, oh my god Idon't  know // he is in the cabainet  
758, vice pres of the us 
759, i don't know 
760, vice president 
761, oh that dude // he is the vice pres 
762, vice pres 
763, i don't know//i'm trying to think // vice pres 
764, STATE SENATOR 
765, vice president 
766, I can't remember//no 
768, vice president 
769, vice president// 
770, secretary of State 
774, vice president 
775, republican vp 
776, vice president// 
777, don't know//don't know who ur talking about 
778, FORGOT//i CAN'T THINK OF THAT 
779, Don't know//DK 
780, senator//vice president 
781, vice president 
782, vice president 
783, over the army;the military 
784, Vice president 
785, I know the name but not office//can't think.Secretary of State 
786, Vice president 
787, republican vice president 
788, Vice president 
789, vice president 
790, Don't know he stilol has a role . I know he's behind Bust & a Republican but I don't know what he does now. I think he's in the Senate 
791, Secretary. What does he do??//Secretary of Defense 
792, SUPPOSED TO BE VICE PRESIDENT BUT HE'S REALLY THE PRESIDENT 
793, in the senate 
795, Vice President.// 
797, Don't know./Vice President of the United States.// 
798," Can't think, don't know./I know the name, but can't think of the office right now.// "
799," Don't know./I have no idea, but have heard his name a lot.// "
800, I can't remember./no guesses.// 
801, Vice President.// 
802, Vice President.// 
803, Butler.// 
804," I don't know which office, but I've heard his name./No guess.// "
805, Not sure./Republican Senator.// 
806, Vice President of the United States.// 
807, Vice President of the United States.// 
808, vice presidwnt/ 
809, Vice President of the United States.// 
810, Vice President 
812, vice president 
813, vice president 
814, I don't know./I don't know.// 
815, VICE PRESENDENT// 
816, Congress// dont trust him/ 
818, Vice President.// 
819, vice president/ 
821, vice presdent 
822, Vice President of the United States.// 
823, dont know maybe tresury/ 
825, house of representatives 
826, vice president 
827, vice president 
828, vice president 
829, us senator 
830, vice president 
831, vice president 
832, vice president 
833, //DON'T KNOW// 
834, //don't know//don't know 
835, //don't know//don't know 
836, military official 
837, //don't know//not sure 
838, senator 
839, //don't know// 
840, vice president 
842, vice president 
843, //don't know//not sure 
844, vice president 
845, vice president 
846, vice president 
847, Don't know./Vice President.// 
848, Congress//House of Representatives//I don't know// 
849, don't know// 
850, republican 
851, vice president 
852, vice president 
853, vice president 
854, dont know know  
855, vice president 
857, vice president 
858, vice president 
859, SENATOR//DON'T KNOW 
861, vice president 
862, advisor to president 
863, vice presicent 
864, vice president 
865, VICE-PRESIDENT 
866, VICE-PRESIDENT 
867, VICE-PRESIDENT 
868, VICE-PRESIDENT 
869, VICE-PRESIDENT 
870, VICE-PRESIDENT 
871, VICE-PRESIDENT 
872, VICE-PRESIDENT 
873, VICE-PRESIDENT 
876, VICE-PRESIDENT 
877, VICE-PRESIDENT 
879, dont know// I sure dont know 
880, // dont' know right now I cannot call the word 
881, vp 
882, vp 
883, vp 
884, vice-president 
885, donot know //quess/no 
887, vice president 
888, vice president 
889," he is in the white house, he is over the us service//he is a good person, because his name is in the news// "
890, vice president 
891, donot know//best quess// do not know 
892, vp 
893, donot know//best guess/ do not know 
894,  no idea//best guess//gov of az 
895, vp    
896, don't know//president assistant 
897," secretary, not sure "
898, do not know 
900, vice president 
901, donot know// brain is locked// do not know 
902, representative 
903, //something in the whitehouse 
904, vp 
905, //house of rep 
906, vice president of the us 
907, vice president   
908, senator or governor? 
912, //I forgot what Dick Cheney do too//quess//i just saw him on television last night//i forgot 
913, vp 
914, vp 
915, don't know/// 
916, do not know//best quess// do not know 
917, do not know at all//best guess//no best guess 
918, vp//the united states 
919, vp 
920, no idea 
921, can't think of it//best guess//rep or senate 
922, vice president 
923, vice president 
924, no sure//best guess//no 
925, donot know//best guess//finance   
926, vp 
927, vice president 
929, donot know//best guess// do not know 
930, donot know 
931, //republician//dont know what he does// 
932, dont know//donot know 
934, <RF> 
935, vice president 
936, vice president 
937, vice president 
939, vice president  
940, vice president 
941, vice president 
943, vice president  
944, vice president  
945, vice president 
946, vice president 
947, vice president  
948, vice president 
949, vice president 
950, vice president 
951, <RF> 
952, <RF> 
953, <RF> 
954, vice president 
955, vice president 
956, VICE PRESIDENT 
957, vice president 
958, vice president 
959, vice president 
960, vice president 
961," vice preseidnet, president of senate "
962, vp 
963, don't know 
964, vp 
965, vp 
966," don't know, / "
967, vp 
968, vp 
969, vice-president 
972, vice-president 
973, vice-president 
974, vice-president 
975, vice-president 
976, vice-president 
977, vice-presidents 
978, vice-presidents s 
979, vice-president 
980, vice-president 
982, VICE PRESIDENT 
983, vice pres 
984, vice pres 
985, vice pres 
986, vice president 
987, vice pres 
988, vice president 
989, vice president 
990, vice president 
991, i dont know// no// 
992, //vice president// 
993, vice president 
994, vice president 
995, I dont remember//npo 
996, vice president 
998, dont know// crook// 
999, don't know 
1000, don't know 
1001, don't know 
1002, don't know 
1003, vp 
1005, vice pres 
1006, vice president 
1008, vice president 
1009, congress 
1010, vice president 
1011, vice pres 
1012, don't know 
1013, dont know 
1014, vice president 
1015, vice pres 
1017, vice pres 
1018, defense 
1020, vice president 
1021, vice pres 
1022, vp 
1023, vp 
1025, congress 
1026, don't know 
1027, secretary 
1028, don't know 
1029, govener 
1030, represenative 
1031, a good position 
1032, vp 
1034, senator 
1035, vp 
1036, vp 
1037, house of represenative 
1038, vp 
1039, vp 
1040, congress 
1041, vp 
1043, lobbyist/state senater 
1044, don't know 
1045, don't know 
1046, dont know 
1047, I don't know. // no. 
1048, Vice president. 
1050, Vice predisent 
1051, I dont't know. // no. 
1052, // Don't know.// NO. 
1053, vp 
1055, Senetor. 
1056, Vice president. 
1057, Vice president. 
1058, Vice president. 
1059, Vice president. 
1060, Vice president. 
1061, Vice president. 
1063, Vice president. 
1064, Vice president. 
1067, Vice president. 
1068, Vice president. 
1069, Vice president. 
1070, Vice president. 
1071, don't know. // no. 
1072, Vice president. 
1073, Vice President. 
1074, Vice president. 
1075, vp 
1076, VP 
1077, VP 
1078, REPRESTATIVE 
1079, congress 
1080, dont know 
1081, dont know 
1082, VP 
1084, vp 
1085, VP 
1086, VP 
1087, advisor to president 
1088, tresury 
1089, vp 
1090, SENATE 
1091, VP 
1092, VP 
1093, house of rep. 
1094, senate 
1095, vice pres 
1096, don't know 
1097, Vice President 
1098, Vice President 
1100, Vice President 
1101, Vice President 
1102, Vice President 
1103, Secretary of State 
1104, Vice President 
1105, Secretary of State// 
1106, Vice President 
1107, // he's got to be a Senator 
1108, I don't know// don't know 
1109, Vice President 
1110, Vice President 
1111, Vice President 
1112, Vice President 
1113, Vice President 
1114, Vice President 
1115, Vice President 
1116, vice president 
1117, Vice President 
1118, // with the Armed Services// I don't know 
1119, vice president 
1120, Vice President 
1121, Vice President 
1122, vp 
1123, vice president 
1124, does not remember 
1126, vice president 
1127, vice president 
1128, state rep 
1129, vice president 
1130, vice president 
1131, vice president 
1132, vice president 
1133, vice president 
1134, vice president 
1135, vice president 
1136, vice president 
1137, secretary of state 
1138, vice president 
1139, vice president 
1140, vice president 
1141, vp 
1142, Vice President 
1143, VICE PRESIDENT 
1144, vice presaideant. 
1146, vice president 
1147, vice president 
1148, vp 
1149, Vice President 
1150, //Vice President 
1151, dont know  
1152, house represenatives 
1153, Vice President 
1154, Vice President 
1155, vice president 
1156, Vice President 1 
1157, vice president 
1158, know him but dont know what he doed 
1159, mayor 
1160, vp 
1161, vp 
1162, senate 
1163, dont know 
1164, vp 
1165, 1 dont know 
1166, vp 
1167, vp 
1168, vp 
1169, vp 
1170, polotics 
1171, dont know 
1172, Vice President 
1173, vp 
1174, 1 vp 
1176, in government 
1177, vp 
1178, no 2 man vp 
1179, vp 
1180, vp 
1181, dont know 
1182, dont know 
1183, dont know  
1184, vp 
1185, guess - Vice President 
1186, Vice President 
1187, vice president 
1189, VP 
1190, vice president 
1191, Vice President 
1192," with Bush administration, not sure what he does "
1193, vice president 
1194, VP 
1195, vice president 
1196," up there, foreign affairs kind of thing "
1197, vice president 
1198, dk/nothing 
1199, vice president 
1200, republican 
1201, dk/dk/no 
1202, dk/democrat/no 
1204, vice president 
1205, vice president 
1206, vice president 
1207, vice president 
1208, dk/dk/no 
1209, house of representatives 
1210, vice president 
1211, vice president 
1212, vice presiedent 
1213, dk/dk/no 
1216, vice president 
1217, i can't remember/house nof rep 
1218, dk/foreign affairs 
1219, vice president 
1220, vice president 
1221, vice president 
1222, dk/vice president 
1223, vice president 
1224, dk/dk 
1225, vice president 
1226, vice president//no 
1227, republican 
1228, can't think of one//no 
1230, vice president//no 
1231, vice president//no 
1232, do not know this answer 
1233, vice president. 
1234, vice president/no 
1236, congress//no 
1237, vice president 
1238, vice president 
1239, vice presidnent 
1240, vice president 
1242, vice president 
1243, vice president 
1244, vice president 
1245, vice president 
1246, vice president 
1247, vice president 
1248, do not know 
1249, vice president 
1251, vice president 
1252, //i know i've heard the name but i don;t know//by the time i get home from work the news is over//i don't know who he is//no 
1253, vice president 
1254, //i have no clue//i know i've heard the name but know nothing more-all i know is th ename//no 
1255, // vice president//no 
1256, vice president 
1257, vice president of the us 
1258, //i've heard that name but i don't have a clue who he is//no 
1259, vice president 
1260, //vice president//no 
1261, vice president 
1262, vice president 
1263, //vice presiddent//no 
1264, vice president 
1265, //vice president for a little while longer//no 
1266, vice president 
1267, vice president 
1268, vice president 
1269, vice president for the next few days 
1271, seat in the house of representatives 
1272, vice president 
1273, //i don't know that either/i don't even have a guess//no 
1274, vice president 
1275, vice president 
1276, vice president 
1277, vice president 
1279, //vice president//no 
1280, vice president 
1281, vice president 
1282, vice president 
1283, dont have an answer 
1284, vice president 
1285, vice president 
1286, vice president 
1287, vice president 
1288, //vice president//no 
1289, don't know 
1290, don't know 
1291, vice president 
1292, vice president 
1293, don't know 
1294, vice president 
1295, sec. of state 
1296, vice president 
1297, he is the vice president//no 
1298, he is republican//I know what he does but I can not think right now//no 
1299, vice president//no 
1300, he is the vice president//no 
1301, vice president//no 
1302, he is our current vice president//belongs to the republican party//he worked for gas and oil companies before//if I am not mistaken he played a roll in reagons and bush sr adminstration//no 
1303, the vice president 
1305, he is vice president//no 
1306, vice prsident 
1307, vice president 
1308, vice president 
1309, vice president 
1310, vice president 
1311, vice president 
1312," ""vice president""// "
1313," ""vice presient""// "
1314," ""vice president""// "
1315," ""dont know and no idea""// "
1316," ""dont know and no idea""// "
1318, VICE PRESIDENT 
1319," ""maybe senate""// "
1320, VICE PRESIDENT 
1321," ""vice president""// "
1323," ""dont know""// "
1324," ""vice president""// "
1325," ""vp""// "
1326," ""never heard him""// "
1327," ""dont kn ow""// "
1328," ""vp""// "
1329, I DON'T KNOW//I DON'T KNOW//STOP 
1330, VICE PRESIDENT 
1331," ""vp""// "
1332, DON'T KNOW//DON'T KNOW//STOP 
1334," ""dont know""// "
1335," ""vice president""// "
1336," ""congressman""// "
1337," ""dont know but have heard of him""// "
1338," ""vice president// "
1339," ""don't know//don't know//"" "
1341," ""vice president//"" "
1342, VICE PRESIDENT 
1343," ""don't know//"" "
1344," ""vice president//"" "
1345," ""vice president//"" "
1346, VICE PRESIDENT 
1347," ""vice president//"" "
1348," ""vice president//"" "
1349," ""don't know//vice president//"" "
1350," ""don't know//oh yes, vice president//"" "
1352, DON'T KNOW//DON'T KNOW//STOP 
1353," ""don't know//vice president//"" "
1354, DEMOCRAT 
1355, I DON'T KNOW//I DON'T KNOW//STOP 
1356," ""vice president//"" "
1357," ""vice president//"" "
1358," ""vice president//"" "
1359," ""vice president//"" "
1360," ""vice president//"" "
1361," ""don't know//"" "
1362," ""vice president//"" "
1363," DON'T KNOW, HE IS VERY IMPORTANT VERY HIGH UP// VICE PRESIDENT//STOP "
1364," ""vice president//"" "
1365," ""something in govt""// "
1366," ""I've heard the name , but don't know//I don't listen to that stuff//"" "
1367," ""dont know""// "
1368," ""vp""// "
1370," ""vice president//"" "
1372, WHO IS HE//DON'T KNOW//STOP 
1373, VICE PRESIDENT 
1374," ""dont know""// "
1375," ""vice president//"" "
1378, treasurer 
1379, senator 
1380, <RF> 
1381, vice president 
1382, vice president 
1383, vice president 
1384, vice president 
1385, senator 
1386, vice president 
1387, democrat 
1388, vice presidency 
1389, vice president 
1390, vice president 
1391, speaker of the house 
1392, <RF> 
1393, vice president 
1395, congress 
1396, vice president 
1398, vicew president 
1399, vice president 
1400, pentagon 
1401, vice president 
1402, vice president 
1403, secretary 
1405, vice president 
1406, vice president 
1407, Vice President 
1408, vice president 
1409, don't know the name of his title//congressman//no 
1411, vice president 
1412, Vice President 
1414, vice president 
1415, // VICE PRESIDENT 
1416, vice president 
1417, Vice President 
1419, vice president 
1420, I DON'T KNOW // I DON'T KNOW 
1421, vice president 
1423, he's still asst.vice president 
1424, Vice President 
1425," I think he's um um um, I know he's somebody in govenment.  the name is familiar to me he has something to do with a high position "
1426," El es el ""Vice Presidente"" "
1427," he breaks the tide in the senate// yeah he Vice President ""no"" "
1428, no lo reconosco 
1429, vice president 
1430, vice president 
1431, vice president 
1432, vice president 
1433, vice president 
1434, vice president 
1435, vice president 
1436, vice president 
1437, vice president 
1438, I have no idea 
1439, vice president 
1440, chairman of something 
1441, vice president 
1442, vice president 
1444, vice president 
1445, vice president 
1446, vice president 
1447, senate 
1448, departing vice president 
1451, vice president 
1452, vice president 
1453, vice pres 
1454, vice president of US 
1455, vice president 
1456, vice president 
1457, vice president 
1458, I really have no guess 
1459, vice president 
1460, senetor 
1461, vice president 
1462, sentor 
1463, secerty to defense 
1464, vice president 
1465, I know of him but I dont know what position he holds 
1466, vice president 
1467, congress 
1468, sentor 
1469, //vice president 
1470, Vice President 
1471, vice president 
1472, vice president 
1473, vice president 
1474, //vice president 
1475, Vice President of the US 
1476, vice president 
1477, shotgun shell catcher//vice president 
1478, congress 
1479, vice president 
1480, //i don't have a guess 
1481, vice president 
1482, //vice president 
1483, vice president 
1484, //vice president 
1485, vice president 
1486, vice president in charge of cutting thraots 
1487, //iknow he's helping the vice president 
1490, vice president 
1491, vice-president 
1492, vice president 
1493, vice president 
1496, vice president 
1497, vice president 
1498, vice president 
1499," vice president, i think//i don't know//no "
1500, vice president 
1501, i don't know//i have no idea//no 
1502," i don't know//he could be vice president, he could be anybody//no "
1503, vice president 
1504, senate 
1505, vice president 
1506, vice president 
1507," girl, my mind is gone...i don't know//vice president, yeah he do//no "
1508, vice president 
1509, vice president 
1510, vice president 
1511, vice president 
1512," ""somebody who is in a defense position//No"" "
1513, vicepresident//he is the most powerful vp in the history of US//No. 
1514," "" i do not know//No"" "
1515, vice president 
1517, vice president 
1518, vice president 
1519, dont know//dont pay attention to politians//no 
1520, vice president 
1521, vice president 
1522, vice president 
1523, vice president 
1524, vice president 
1525, vice president 
1526, i don't know//i forgot//congressman?//senator?//no 
1527, i don't know//no guess//no 
1528, vice president 
1529, vice president 
1531, Vice President 
1532, Vice President 
1533, vice president 
1534, vice president 
1535, vice president 
1536, trying to think what he does now - I'm thinking he's vice president (she had help) 
1537, vice pres 
1538, no//no 
1539, dk//no 
1540, Vice President 
1541, vice president 
1542, Vice President 
1544, Vice President 
1545, House speaker//no 
1546, Vice President 
1547, JVice President 
1548," not sure//""doesn't watch tv"" "
1550, vice presiden 
1551, I know that one//offhand no 
1552, vice president 
1553, Vice President 
1554, vice president 
1555, Vice President 
1556, Vice President 
1557, Vice President 
1558, Vice President 
1559, A representative?//no 
1560, doesn't know//doesn't know//no 
1561, thinking he was the speaker of the house 
1562, Vice President 
1563, vice president 
1564, was he a senator?//no 
1565, Vice President 
1567," Democrat, but not sure//no  "
1568, Vice President 
1569," doesn't know//has no clue//has heard the name, but can't thnk of . . .//wait, is he the Vice President?//no "
1570, Vice President  
1572, Vice President 
1574, Vice President 
1575, Vice President 
1576, doesn't know//doesn't have a best guess//no 
1577, Vice President 
1578, Vice President 
1580, vp 
1581, vice presdent 
1582, vp 
1583, vice president 
1584, vice president 
1585, republican 
1586, vice presdent 
1587, congressman 
1588, vice president of usa 
1589, vp 
1590, vice president 
1591, vp 
1592, vp 
1593, vp 
1594, senator 
1595, vp 
1596, vp 
1597, <RF> 
1598," no guess, no idea "
1599, vp 
1600, vice presdent 
1601, vp 
1602, vp 
1603, house seat 
1604, vp 
1605, vp 
1606, vp 
1607, vp 
1608, vp 
1609, vp 
1610, vp 
1612, vp 
1613, vp 
1614," representative?//feels she should know it, but can't think of it//no "
1615, vice president 
1616, vice president 
1617, senator 
1618, war of defense 
1619, i know about him but i can't of who he is 
1620, don't know//dont know 
1621, i don't know//who is he 
1622, SENATE BUT I DON'T KNOW WHERE HE'S AT 
1623, vice president 
1624, secretary of state 
1625, is he in the senate//i'm not sure 
1626, republican//the government 
1627, vice president 
1628, vice president 
1629, representative//i don't know what he is/ he's just in the gov't in washington 
1630, i don't know 
1632, democrat//don't know 
1633, vice president 
1634, vice president 
1636, i can not tell you// your best guess// I dont know//NO 
1637, vice president 
1638, i don't know//don't know 
1639, vice president until Jan 19th//no 
1640, vice president//no 
1641, vice president 
1642, DON'T KNOW//NO 
1643, VICE PRESIDENT 
1644, vice president 
1645, vp 
1646, VICE PRESIDENT 
1647, vice president 
1648, vice president//no 
1649, vice president// 
1651, republican- vice president with Bush 
1652, was vice president 
1653, vice president 
1654, vice president 
1655, vice president who is really the man 
1656, vice president- bumble head 
1657, vice president 
1658, vice president 
1659, vice president 
1660, vice president 
1662, vice president 
1663, vice president 
1664, vice president 
1666, vice-president 
1667, outgoing vice-president 
1668, vice-pres 
1669, senator or something 
1670, vice-pres 
1671, vice-pres 
1672, vice-president 
1673," chief crook of current administration, he's VP of US "
1674,  vice president 
1675, VP 
1676, vp 
1677, democrat//I don;t remember what posiition he holds//I know he is influential 
1678, vice president 
1679, //senate// 
1680, vice president 
1681, //vice president// 
1682, vice president 
1683," i have no idea, he's retired isn't he?//secretary of state "
1685, senate 
1686, congress 
1687," this is horrible, isn't he the vice president right noe, i don't know "
1688, vice president 
1689, secretary of defense 
1690, vice president 
1691, vice president 
1692, vice president 
1694, vice president 
1696, vice president 
1697, vice president 
1698, vice president 
1700, vice president 
1701," vice-president, and in charge of senate "
1702, democrat//doesn't know even after probing 
1703, VICE PRES.//HEAD OF SENATE// 
1705, VICE PRES.// 
1706, VICE PRES.// 
1707, VICE PRES.// 
1708, VICE PRESIDENT OF USA// 
1709, VICE PRES. 1 
1710, VICE PRES// 
1711," on his way out, was the vice president "
1713, vice president 
1714, i dont now// your best guess/ treasurer// 
1716, vice president right now 
1717, vice president 
1718, vice president 
1719, I think he's governor//no 
1720, dont know him// i say a 3 for him 
1723, vice president 
1724," I don't know// best guess//I don't know, that is my best guess// "
1725, not sure//no 
1726, don't know. 
1727, vice president 
1728, vice president 
1729, vice president 
1730, vice president 
1731, vice president 
1732, i have heard of him but I do not know which office// best guess// I have no idea 
1733, vice president 
1734, vice pres. 
1735, v pres. 
1736, v.pres. 
1737, vpres. 
1738, d.k. 
1739, v. pres. 
1740, v. pres. 
1741, v. pres. 
1742, don't know 
1743, v. pres. 
1744, don't know 
1746, don't know 
1747, v. pres. 
1748, don't know  
1749, d.k. 
1750, vice president 
1751, Vice Pres. 
1752, d.k. 
1753, Vice Pres. 
1754, Vice Pres. 
1755, v. pres 
1756, no 
1758, Vice Pres. 
1759, d.k. 
1760, I don't know what he do. 
1761, vpres 
1762, don't know 
1763, d.k. 
1764, v.pres 
1765, vice president 
1766, senator 
1767," He ran with Bush, Vice Pres. "
1768, No 
1771, Vice Pres. 
1772, Vice President 
1773, vice president 
